id,name,short_description,long_description,features,category,image_url,price,created_on,updated_on
1,Ultra Mouse Model-1,High quality ultra mouse model-1 built for daily use and durability.,Experience premium performance with the Ultra Mouse Model-1. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v1,computers,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?auto=format&fit=crop&w=500&q=80&sig=1,20853.21,2026-01-08 19:00:00,2026-01-10 19:00:00
2,Daily Office Chair Model-2,High quality daily office chair model-2 built for daily use and durability.,Experience premium performance with the Daily Office Chair Model-2. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v2,others,https://images.unsplash.com/photo-1505797149-43b0069ec26b?auto=format&fit=crop&w=500&q=80&sig=2,67223.34,2026-03-21 05:00:00,2026-03-21 05:00:00
3,Toaster Juicer Model-3,High quality toaster juicer model-3 built for daily use and durability.,Experience premium performance with the Toaster Juicer Model-3. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v3,kitchen,https://images.unsplash.com/photo-1621972750749-0fbb1abb7736?auto=format&fit=crop&w=500&q=80&sig=3,8319.35,2026-03-03 20:00:00,2026-03-06 20:00:00
4,Mouse Monitor Model-4,High quality mouse monitor model-4 built for daily use and durability.,Experience premium performance with the Mouse Monitor Model-4. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v4,computers,https://images.unsplash.com/photo-1547082299-de196ea013d6?auto=format&fit=crop&w=500&q=80&sig=4,63407.0,2026-04-01 10:00:00,2026-04-11 10:00:00
5,Smart Blender Model-5,High quality smart blender model-5 built for daily use and durability.,Experience premium performance with the Smart Blender Model-5. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v5,kitchen,https://images.unsplash.com/photo-1584269600464-37b1b58a9fe7?auto=format&fit=crop&w=500&q=80&sig=5,66800.15,2026-01-11 01:00:00,2026-01-13 01:00:00
6,Studio Notebook Model-6,High quality studio notebook model-6 built for daily use and durability.,Experience premium performance with the Studio Notebook Model-6. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v6,laptops,https://images.unsplash.com/photo-1496181130204-755241524eab?auto=format&fit=crop&w=500&q=80&sig=6,31234.8,2026-03-03 20:00:00,2026-03-03 20:00:00
7,Toaster Air Fryer Model-7,High quality toaster air fryer model-7 built for daily use and durability.,Experience premium performance with the Toaster Air Fryer Model-7. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v7,kitchen,https://images.unsplash.com/photo-1556910103-1c02745aae4d?auto=format&fit=crop&w=500&q=80&sig=7,3927.45,2026-03-04 08:00:00,2026-03-10 08:00:00
8,Puzzle Blocks Model-8,High quality puzzle blocks model-8 built for daily use and durability.,Experience premium performance with the Puzzle Blocks Model-8. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v8,toys,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?auto=format&fit=crop&w=500&q=80&sig=8,52842.09,2026-02-14 07:00:00,2026-02-14 07:00:00
9,Chromebook Studio Model-9,High quality chromebook studio model-9 built for daily use and durability.,Experience premium performance with the Chromebook Studio Model-9. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v9,laptops,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?auto=format&fit=crop&w=500&q=80&sig=9,75981.27,2026-03-22 19:00:00,2026-03-22 19:00:00
10,Backpack Backpack Model-10,High quality backpack backpack model-10 built for daily use and durability.,Experience premium performance with the Backpack Backpack Model-10. This product is engineered using top-tier materials to ensure longevity and seamless integration into your routine. Perfect for enthusiasts and professionals alike.,Premium Quality/Durable Build/Easy to Use/Version v10,others,https://images.unsplash.com/photo-1602143407151-7111542de6e8?auto=format&fit=crop&w=500&q=80&sig=10,74766.48,2026-01-01 04:00:00,2026-01-08 04:00:00
