id,name,short_description,long_description,features,category,image_url,price,created_on,updated_on
1,Water Bottle Model-1,High quality water bottle model-1 built for durability.,Experience premium performance with the Water Bottle Model-1.,Premium Quality/Durable Build/Version v1,others,https://images.unsplash.com/photo-1576143656?auto=format&fit=crop&w=500&q=80&sig=1,2747.68,2026-06-10 10:14:54,2026-07-06 09:58:19
2,Electric Razor Model-2,High quality electric razor model-2 built for durability.,Experience premium performance with the Electric Razor Model-2.,Premium Quality/Durable Build/Version v2,beauty,https://images.unsplash.com/photo-1540909895?auto=format&fit=crop&w=500&q=80&sig=2,2653.19,2026-02-22 13:32:37,2026-04-23 05:53:19
3,Water Bottle Model-3,High quality water bottle model-3 built for durability.,Experience premium performance with the Water Bottle Model-3.,Premium Quality/Durable Build/Version v3,others,https://images.unsplash.com/photo-1588807492?auto=format&fit=crop&w=500&q=80&sig=3,2173.06,2026-03-17 18:43:10,2026-04-26 10:33:48
4,Puzzle Set Model-4,High quality puzzle set model-4 built for durability.,Experience premium performance with the Puzzle Set Model-4.,Premium Quality/Durable Build/Version v4,toys,https://images.unsplash.com/photo-1522476442?auto=format&fit=crop&w=500&q=80&sig=4,780.39,2026-04-03 21:49:08,2026-04-08 21:19:44
5,Office Chair Model-5,High quality office chair model-5 built for durability.,Experience premium performance with the Office Chair Model-5.,Premium Quality/Durable Build/Version v5,furniture,https://images.unsplash.com/photo-1557999794?auto=format&fit=crop&w=500&q=80&sig=5,572.86,2026-03-25 11:45:12,2026-03-30 10:20:21
6,Headphones Model-6,High quality headphones model-6 built for durability.,Experience premium performance with the Headphones Model-6.,Premium Quality/Durable Build/Version v6,electronics,https://images.unsplash.com/photo-1597039107?auto=format&fit=crop&w=500&q=80&sig=6,1312.46,2026-06-24 09:09:01,2026-07-18 04:32:18
7,Hair Dryer Model-7,High quality hair dryer model-7 built for durability.,Experience premium performance with the Hair Dryer Model-7.,Premium Quality/Durable Build/Version v7,beauty,https://images.unsplash.com/photo-1578923501?auto=format&fit=crop&w=500&q=80&sig=7,126.77,2026-03-18 18:04:28,2026-04-21 03:21:50
8,Bed Frame Model-8,High quality bed frame model-8 built for durability.,Experience premium performance with the Bed Frame Model-8.,Premium Quality/Durable Build/Version v8,furniture,https://images.unsplash.com/photo-1523397801?auto=format&fit=crop&w=500&q=80&sig=8,858.9,2026-02-15 19:44:14,2026-02-20 18:02:31
9,Wool Sweater Model-9,High quality wool sweater model-9 built for durability.,Experience premium performance with the Wool Sweater Model-9.,Premium Quality/Durable Build/Version v9,clothing,https://images.unsplash.com/photo-1525032321?auto=format&fit=crop&w=500&q=80&sig=9,229.41,2026-02-28 22:53:51,2026-04-04 13:13:40
10,Running Shoes Model-10,High quality running shoes model-10 built for durability.,Experience premium performance with the Running Shoes Model-10.,Premium Quality/Durable Build/Version v10,clothing,https://images.unsplash.com/photo-1555345599?auto=format&fit=crop&w=500&q=80&sig=10,1578.27,2026-02-24 19:56:41,2026-04-06 12:06:22
11,Juicer Model-11,High quality juicer model-11 built for durability.,Experience premium performance with the Juicer Model-11.,Premium Quality/Durable Build/Version v11,kitchen,https://images.unsplash.com/photo-1531783572?auto=format&fit=crop&w=500&q=80&sig=11,1853.47,2026-02-26 16:57:28,2026-04-09 07:25:20
12,Monitor Model-12,High quality monitor model-12 built for durability.,Experience premium performance with the Monitor Model-12.,Premium Quality/Durable Build/Version v12,computers,https://images.unsplash.com/photo-1589335584?auto=format&fit=crop&w=500&q=80&sig=12,342.79,2026-06-11 13:12:16,2026-08-08 21:26:53
13,Keyboard Model-13,High quality keyboard model-13 built for durability.,Experience premium performance with the Keyboard Model-13.,Premium Quality/Durable Build/Version v13,computers,https://images.unsplash.com/photo-1585435132?auto=format&fit=crop&w=500&q=80&sig=13,2623.05,2026-04-03 07:08:56,2026-04-25 03:21:10
14,Puzzle Set Model-14,High quality puzzle set model-14 built for durability.,Experience premium performance with the Puzzle Set Model-14.,Premium Quality/Durable Build/Version v14,toys,https://images.unsplash.com/photo-1595850634?auto=format&fit=crop&w=500&q=80&sig=14,299.42,2026-03-11 04:35:15,2026-03-13 09:24:43
15,Sofa Model-15,High quality sofa model-15 built for durability.,Experience premium performance with the Sofa Model-15.,Premium Quality/Durable Build/Version v15,furniture,https://images.unsplash.com/photo-1545571102?auto=format&fit=crop&w=500&q=80&sig=15,1194.66,2026-01-26 10:40:16,2026-03-24 21:53:57
